"chl","LMA","N","S"
201.7777778,44.1646597678311,1.33,0.14
439.0222222,56.1828881870323,3.21,0.18
287.7,52.8788978492276,1.86,0.12
513.9,59.2197119644317,4.17,0.27
375.4666667,59.4819598618391,2.05,0.14
457.5,48.5513676652899,3.06,0.37
299.8444444,59.7974301611146,1.72,0.14
310.7555556,48.7024167629295,1.93,0.14
288.4,60.077914188358,1.57,0.14
270.4777778,55.5652154191583,1.75,0.11
377.0777778,64.4111392948912,2.07,0.17
340.9888889,53.2382931310103,3.15,0.15
533.5,70.8554357609299,3.1,0.34
196.2333333,53.3737950731881,2.41,0.12
464.2,49.8772788862987,3.51,0.29
653.6,42.8677858936406,3.73,0.38
233.7555556,51.2829922112235,1.58,0.15
217.3222222,62.5404544897924,1.36,0.11
263.5666667,41.7525861040577,2.25,0.16
608.6,51.7965882058227,3.49,0.35
352.0333333,52.2999959872126,2.32,0.14
552.0555556,66.4827468691494,3.2,0.2
449.6111111,56.7543682909654,2.59,0.17
377.6,57.2476003864665,1.97,0.18
391.4666667,56.824880660896,2.55,0.16
610.1,53.3082204952433,3.74,0.44
218.4444444,53.9013371247284,1.76,0.13
461.5555556,59.7365456885014,2.78,0.2
440.4111111,59.222269619935,2.81,0.18
392.2555556,65.5037949146913,2.49,0.14
332.2888889,63.896850477287,2.21,0.17
616.4,67.5435448675608,3.61,0.47
503.9,68.881895856235,2.02,0.15
502,61.5021471255921,3.2,0.3
222.2444444,52.4106567618398,1.43,0.11
226.5,62.5626460947462,1.44,0.11
224.6333333,51.9595580175874,1.69,0.13
515.3,67.4245246099515,3.25,0.35
253.8,55.0677237439841,1.79,0.11
397.3555556,60.0909077990284,2.52,0.14
209.4777778,45.1280240694476,1.68,0.11
186.3111111,43.526940816471,1.22,0.11
406.5,58.6079926537447,2.6,0.15
452.3,45.2684733409698,2.84,0.24
315.5,33.7514911202661,2.55,0.39
244.1888889,54.6416923048467,1.52,0.12
198.5222222,45.1134280476627,1.57,0.12
497.3,53.4941463051854,2.86,0.22
482.6,51.265684409452,3.31,0.23
484.0555556,61.6159502772718,2.69,0.19
247.8555556,62.4610524180108,1.59,0.12
294.2888889,65.2642045747646,1.92,0.16
340.5555556,53.7433246028776,2.23,0.13
439.6666667,57.7310982819782,2.51,0.15
399.2444444,63.770109072799,3.03,0.2
454,61.8685741537348,2.88,0.18
